Artist,Listeners,Daily Trend,Peak,PkListeners
INXS,"99,60,038","1,697",809,"1,01,13,379"
Sleepy Hallow,"99,42,289","-75,172",838,"1,00,17,461"
Kany GarcÃ­a,"99,40,323","-12,558",843,"99,52,938"
Birdy,"99,18,832","7,668",662,"1,07,91,626"
Mae Stephens,"99,15,545","-75,301",611,"1,13,44,894"
Alfredo Olivas,"99,05,823","-6,034",770,"1,01,27,826"
Bacilos,"98,98,399","-82,319",780,"1,04,33,365"
MC Cabelinho,"98,94,565","1,482",818,"1,00,19,022"
Sum 41,"98,88,073","-15,145",816,"1,00,96,879"
Colbie Caillat,"98,87,684","15,909",834,"99,98,534"
Los Tigres Del Norte,"98,81,792","-1,443",781,"1,01,09,410"
Juan Gabriel,"98,73,768","36,924",777,"98,73,768"
Zac Efron,"98,72,942","-74,198",810,"1,02,00,779"
The Mamas & The Papas,"98,70,923","8,726",799,"1,00,43,060"
sped up + slowed,"98,53,625","-21,501",640,"1,17,97,289"
Otis Redding,"98,52,094","-17,055",812,"1,01,56,799"
BÃRNS,"98,46,185","7,182",820,"1,00,42,261"
Mc Pedrinho,"98,22,284","-21,856",766,"1,05,75,967"
Stormzy,"98,13,546","-19,322",690,"1,09,86,282"
Karthik,"98,12,589","-4,970",861,"98,17,559"
Dhvani Bhanushali,"98,08,363","5,998",643,"1,17,26,344"
Jimmy Eat World,"98,04,332","-11,485",831,"99,55,254"
Tim McGraw,"97,99,293","-20,592",790,"1,03,23,631"
Rage Against The Machine,"97,99,094","-18,234",737,"1,00,69,643"
Jason Aldean,"97,84,148","-30,590",698,"1,11,70,383"
Icona Pop,"97,56,151","37,243",805,"97,56,151"
Phoebe Bridgers,"97,45,428","10,185",817,"97,45,428"
Tego CalderÃ³n,"97,41,345","-1,030",746,"1,03,83,550"
MK,"97,41,098","76,186",871,"97,41,098"
Lunay,"97,22,175","1,683",651,"1,06,69,807"
The Black Keys,"97,20,099","-40,182",843,"99,22,179"
C. Tangana,"97,17,884","25,823",700,"1,06,62,242"
Ryan Gosling,"97,14,871","-2,84,389",537,"1,33,65,753"
Migrantes,"97,11,549","-81,840",428,"1,42,83,705"
Harris Jayaraj,"97,11,316",359,877,"97,12,164"
BIA,"97,06,788","96,142",833,"97,06,788"
Nadin Amizah,"97,03,327","16,160",879,"97,03,327"
Fireboy DML,"97,00,123","-12,093",778,"1,04,91,359"
Isabel LaRosa,"97,00,084","-11,201",708,"98,80,750"
YOASOBI,"96,95,052","-28,210",760,"1,03,65,956"
Pedro CapÃ³,"96,73,452","-2,077",634,"1,16,80,899"
AgroPlay,"96,70,733","10,433",736,"1,08,00,061"
Rascal Flatts,"96,64,065","-20,964",822,"1,00,60,800"
James Carter,"96,56,139","-7,435",582,"1,19,24,918"
Kailash Kher,"96,53,755","-48,225",874,"97,48,809"
JuliÃ³n Ãlvarez y su NorteÃ±o Banda,"96,50,635","12,012",638,"1,06,58,698"
Mustard,"96,44,589","-5,086",648,"1,07,97,192"
Yuridia,"96,43,462","-23,707",569,"1,15,83,989"
Ofenbach,"96,35,613","-42,746",605,"1,22,68,743"
Cher,"96,35,302","-18,847",817,"1,00,72,106"
MARINA,"96,30,446","24,292",694,"99,30,863"
ILLENIUM,"96,25,234","-16,780",570,"1,25,28,350"
Ozzy Osbourne,"96,07,590","33,372",805,"96,07,590"
Bob Dylan,"95,95,254",-144,718,"1,03,91,094"
Young Nudy,"95,89,594","60,036",819,"1,01,06,926"
AminÃ©,"95,76,485","2,918",632,"1,18,94,189"
LE SSERAFIM,"95,64,802","-66,218",641,"1,15,38,091"
Heart,"95,50,535","12,155",717,"1,07,60,608"
Pixies,"95,46,160","12,777",778,"96,88,191"
Cordae,"95,45,919","-2,495",689,"1,13,25,024"
R. D. Burman,"95,36,148","12,924",863,"97,70,123"
Jeet Gannguli,"95,29,092","7,109",752,"1,05,69,963"
Takeoff,"95,26,541","31,811",635,"1,05,87,587"
Fujii Kaze,"95,05,719","-24,256",584,"1,15,78,504"
Smash Mouth,"94,94,485","44,985",907,"94,94,485"
Vicente FernÃ¡ndez,"94,94,414","-32,664",802,"1,01,92,747"
Kansas,"94,91,265","-6,109",863,"97,80,801"
Matt Sassari,"94,82,324","1,378",809,"1,01,51,818"
Rag'n'Bone Man,"94,80,937","54,218",782,"94,80,937"
Ghea Indrawari,"94,71,480","33,821",912,"94,71,480"
Pink Sweat$,"94,68,284","-38,039",696,"1,01,34,814"
Shaan,"94,64,733","10,871",841,"97,67,423"
GIMS,"94,60,495","-50,638",746,"1,03,31,035"
Hoobastank,"94,55,035",882,821,"96,61,245"
Kaliii,"94,46,479","-13,883",444,"1,51,69,221"
Bonnie Tyler,"94,46,349","-6,847",822,"96,40,695"
Mon Laferte,"94,37,178","-7,369",790,"94,44,547"
Gnarls Barkley,"94,29,897","70,983",920,"94,29,897"
Thalia,"94,19,663","2,021",699,"99,75,578"
No Doubt,"94,17,196",-985,892,"94,83,743"
M.I.A.,"93,94,684","36,984",869,"97,63,476"
Sfera Ebbasta,"93,79,484","-30,490",703,"1,11,11,971"
Snow Patrol,"93,78,617","-7,354",853,"94,58,459"
Eric Church,"93,68,340","10,769",734,"98,54,923"
Ghost,"93,67,569","25,409",778,"95,77,779"
DMX,"93,61,469","-12,952",615,"1,09,19,370"
Louis Armstrong,"93,43,207","-27,053",870,"93,81,586"
Carla Morrison,"93,41,520","-23,048",565,"1,16,35,580"
ZZ Top,"93,27,449","12,092",644,"1,17,19,790"
El Fantasma,"93,18,583","79,517",813,"94,09,267"
Wolfine,"93,06,575",779,933,"93,06,575"
Lola Indigo,"93,04,364","-32,406",555,"1,24,85,738"
Dilsinho,"93,04,049","36,902",906,"93,04,049"
ENHYPEN,"93,00,952","8,367",861,"96,94,348"
Ski Mask The Slump God,"93,00,723","16,632",738,"1,03,18,769"
Mahalini,"92,84,052",885,772,"1,03,18,564"
Tulus,"92,81,231","12,906",895,"94,04,134"
Sam Hunt,"92,79,020","-66,340",770,"1,04,04,841"
Bakar,"92,58,923","42,460",817,"1,01,18,759"
MC PH,"92,52,105","30,573",942,"92,52,105"
XamÃ£,"92,50,304","11,266",604,"1,08,46,179"
Oliver Heldens,"92,45,688","-66,976",710,"1,01,65,996"
Dj Nk Da Serra,"92,42,132","25,336",945,"92,42,132"
Will Smith,"92,33,761","-9,027",850,"97,99,337"
Ajay-Atul,"92,25,258","-8,171",597,"1,24,21,148"
Kool & The Gang,"92,22,624","-13,297",875,"94,38,307"
DJ Matt D,"92,19,446","5,551",894,"95,04,681"
The Temptations,"92,07,779","22,845",935,"92,18,250"
Bryant Myers,"91,88,847","12,211",812,"92,78,299"
Portugal. The Man,"91,81,962","46,180",835,"96,64,996"
G. V. Prakash,"91,80,441","21,419",818,"92,70,192"
Noriel,"91,76,518","7,294",873,"91,79,163"
Jasiel NuÃ±ez,"91,76,316","2,21,020",955,"91,76,316"
Avenged Sevenfold,"91,67,765","4,200",833,"98,77,855"
Jimi Hendrix,"91,53,763","-4,524",791,"95,82,538"
Miranda!,"91,37,951","-49,774",708,"1,02,27,443"
Rvssian,"91,36,365","-27,492",600,"1,13,22,904"
Shiloh Dynasty,"91,29,528","-15,480",724,"1,00,81,564"
Edgardo NuÃ±ez,"91,25,900","-20,698",788,"1,03,79,736"
Ranveer Singh,"91,19,186","82,163",962,"91,19,186"
The Who,"91,16,666","9,768",937,"91,16,666"
Asha Bhosle,"91,13,946","18,636",964,"91,13,946"
Kavita Krishnamurthy,"91,13,938","-10,482",955,"91,24,420"
Vulgo FK,"91,06,488","17,038",966,"91,06,488"
Karan Aujla,"90,81,861","13,261",967,"90,81,861"
Ãngela Aguilar,"90,75,992","-55,196",619,"1,08,30,921"
Saweetie,"90,62,270","-15,412",703,"1,01,80,323"
Jon Pardi,"90,60,857","23,629",849,"98,68,772"
Capital Cities,"90,60,812","32,463",918,"93,33,131"
PolimÃ¡ Westcoast,"90,56,736","-26,116",415,"1,45,09,409"
Jimin,"90,50,703","-26,282",374,"1,57,23,792"
Rajat Nagpal,"90,50,536","-1,054",962,"90,84,412"
Willy William,"90,48,318","-49,494",780,"1,03,76,125"
Sajid-Wajid,"90,40,861","22,548",942,"91,24,404"
Oliver Anthony Music,"90,40,509","1,68,632",977,"90,40,509"
Micro TDH,"90,24,902","27,656",732,"1,02,82,823"
HUGEL,"90,08,768","-13,432",946,"90,63,732"
Sachet-Parampara,"90,06,803","-4,842",793,"1,02,71,926"
Simple Minds,"89,95,075","-12,690",937,"92,34,833"
ScHoolboy Q,"89,91,045","8,071",829,"90,19,673"
Benny Benassi,"89,90,809","-27,161",896,"92,59,413"
Duran Duran,"89,81,644","9,097",968,"89,81,644"
Beastie Boys,"89,63,032","-28,139",776,"1,01,44,142"
Deftones,"89,60,980","14,626",972,"89,60,980"
Lykke Li,"89,41,780","14,172",860,"89,41,780"
MAX,"89,40,330","20,319",750,"97,03,746"
"Tito ""El Bambino""","89,36,710","26,032",989,"89,36,710"
Andy Grammer,"89,33,805","-13,903",733,"98,53,235"
Sufjan Stevens,"89,29,085","22,575",943,"89,29,085"
Paloma Faith,"89,19,709","10,156",579,"1,14,29,573"
NATTAN,"89,14,591","28,672",884,"89,14,591"
Dread Mar I,"89,11,243","-75,804",912,"93,02,106"
Blake Shelton,"89,06,722","-9,063",960,"89,87,221"
Roop Kumar Rathod,"89,04,481","-17,628",975,"89,71,170"
Guru Randhawa,"88,94,713","3,202",715,"1,08,72,244"
Joey Bada$$,"88,92,251","2,114",772,"97,16,641"
Sublime,"88,83,246","-11,176",916,"93,26,078"
Diego & Victor Hugo,"88,70,831","76,911",994,"88,70,831"
The Verve,"88,69,659","-4,523",967,"89,26,326"
Alan Jackson,"88,67,885","12,839",1002,"88,67,885"
Internet Money,"88,62,363","-4,866",587,"1,15,45,527"
Fetty Wap,"88,57,960","3,910",831,"90,53,656"
Men At Work,"88,53,821","55,002",1005,"88,53,821"
John Denver,"88,44,512","-9,326",851,"98,98,171"
MÃ¶tley CrÃ¼e,"88,40,068","-3,220",924,"91,65,803"
Vacations,"88,37,886","15,166",811,"95,16,804"
Nathan Dawe,"88,37,246","-28,523",895,"95,08,252"
Odetari,"88,29,162","12,568",1010,"88,29,162"
FINNEAS,"88,25,874","-5,127",992,"88,47,886"
Javed-Mohsin,"88,19,514","-3,102",782,"1,03,92,053"
Chicago,"88,18,009","25,112",824,"1,00,05,709"
Missy Elliott,"88,01,557","46,457",622,"1,11,45,049"
dhruv,"87,98,928","-8,302",795,"95,12,222"
LMFAO,"87,94,691","-12,313",905,"91,02,613"
Ella Eyre,"87,93,489","-12,755",825,"96,34,618"
Juan MagÃ¡n,"87,85,089","11,455",986,"87,85,089"
Miguel BosÃ©,"87,77,253","-16,817",653,"1,16,32,240"
The Doobie Brothers,"87,72,139","-11,780",946,"90,94,086"
Thirty Seconds To Mars,"87,54,139","14,701",968,"88,71,576"
Surf Curse,"87,37,310","27,901",837,"91,76,404"
Soft Cell,"87,34,889","16,760",1018,"87,34,889"
Norah Jones,"87,32,547","-1,314",823,"88,67,934"
The Outfield,"87,29,389","28,290",945,"91,78,694"
Kodaline,"87,21,488","8,526",836,"93,58,952"
Aya Nakamura,"87,07,829","2,274",734,"1,00,95,739"
The Cardigans,"87,00,371","12,140",1028,"87,00,371"
Richy Mitch & The Coal Miners,"86,98,174","47,643",1029,"86,98,174"
alt-J,"86,92,531",901,843,"95,22,225"
Rvfv,"86,88,100","79,856",880,"95,83,453"
Miggy Dela Rosa,"86,80,113","-36,694",581,"1,14,42,944"
Two Feet,"86,72,429","25,521",856,"87,73,770"
Nikhita Gandhi,"86,71,895","3,869",683,"1,01,58,586"
Anggi Marito,"86,68,727","-22,120",887,"95,10,926"
Ali Gatie,"86,67,629","-19,089",756,"97,94,001"
The Jackson 5,"86,67,464","27,003",886,"93,41,813"
King Von,"86,51,347","32,665",857,"97,77,031"
VIZE,"86,42,634","-23,498",916,"91,26,611"
Creeds,"86,42,479","16,257",1040,"86,42,479"
Steve Miller Band,"86,35,996","23,491",1040,"86,35,996"
Talking Heads,"86,33,094","4,845",835,"99,41,912"
The MarÃ­as,"86,15,841","-22,459",887,"93,50,682"
Of Monsters and Men,"86,06,023","12,497",995,"86,06,023"
Kenny Chesney,"86,04,177","-20,908",880,"96,02,722"
Tiara Andini,"86,00,932","10,194",962,"89,67,970"
Ricardo Arjona,"85,61,463","-13,074",838,"90,21,148"
Hugo & Guilherme,"85,51,755",-44,826,"95,28,511"
LANY,"85,34,453","-13,942",768,"93,00,075"
Zack Tabudlo,"85,33,787","-2,390",993,"86,41,464"
Sandro Cavazza,"85,23,025","-16,454",960,"89,84,668"
Standly,"85,21,204","-23,407",438,"1,38,33,044"
Mahalakshmi Iyer,"85,18,616","-21,844",1022,"86,59,677"
Duncan Laurence,"85,07,203","9,661",847,"92,33,454"
Maggie Rogers,"84,95,392","-17,247",1048,"85,22,652"
ACRAZE,"84,91,332","-22,523",577,"1,13,80,380"
Montell Fish,"84,80,575","7,832",1007,"84,80,575"
Grey,"84,79,073","-13,226",913,"86,79,493"
Bakermat,"84,70,425","25,554",1028,"85,24,206"
George Strait,"84,53,718","25,326",1060,"84,53,718"
JosÃ© JosÃ©,"84,51,387","-2,005",893,"84,57,655"
Dynoro,"84,43,837","-21,768",925,"85,27,596"
Tom Grennan,"84,43,009","-29,338",632,"1,08,04,758"
Gerardo Coronel,"84,35,290","-21,027",806,"96,13,040"
Paul Simon,"84,27,600","-17,893",932,"91,20,134"
Men I Trust,"84,22,936","15,261",1066,"84,22,936"
Old Dominion,"84,14,360","-2,188",973,"88,95,218"
Supernova Ent,"84,13,196",-511,1046,"84,83,150"
Haze,"84,11,986","-21,714",1019,"85,97,155"
Sheryl Crow,"84,07,938","33,317",1069,"84,07,938"
Davido,"83,84,146","-7,878",1003,"87,13,977"
Dj Brunin XM,"83,80,916","71,833",1072,"83,80,916"
Dido,"83,80,069","-15,095",1039,"85,19,938"
LUM!X,"83,71,785","-10,957",830,"92,42,972"
Stray Kids,"83,69,900","17,281",887,"95,40,156"
Darius Rucker,"83,57,257","-20,284",1070,"83,77,541"
Starship,"83,44,274","-4,023",1054,"84,37,754"
Cheat Codes,"83,29,659","-9,674",608,"1,09,75,050"
Intense,"83,23,154",-50,1054,"83,54,447"
Ray Charles,"83,07,733","22,422",954,"88,79,777"
America,"83,01,858","-7,099",836,"99,87,492"
Lenin RamÃ­rez,"82,98,740",68,796,"90,12,853"
Deorro,"82,87,012","-1,755",952,"90,60,314"
Lauren Spencer Smith,"82,80,624","7,022",904,"94,27,721"
Calle 13,"82,80,623","-23,880",1033,"85,73,634"
Pailita,"82,74,728","-1,996",585,"1,12,80,046"
Gerardo Ortiz,"82,73,401","18,609",888,"88,01,149"
Mainstreet,"82,71,320","16,434",970,"84,36,076"
Fugees,"82,67,043","13,521",1062,"82,67,043"
Rekha Bhardwaj,"82,61,857","30,530",932,"90,98,811"
HARDY,"82,59,284","-9,042",947,"84,39,819"
Carlos Rivera,"82,56,388","15,416",847,"87,54,994"
Blxst,"82,54,144","11,103",771,"94,88,271"
Bibi Babydoll,"82,35,771","69,933",1094,"82,35,771"
Mc Paiva ZS,"82,26,490","25,652",897,"83,19,214"
Dei V,"82,23,830","-1,61,605",1072,"83,85,435"
The Vamps,"82,02,829","12,170",871,"86,39,951"
OMI,"81,89,540","-2,557",1014,"86,44,180"
ZÃ© Felipe,"81,85,635","-18,178",600,"1,09,25,468"
Tom Petty and the Heartbreakers,"81,83,763","23,534",957,"90,08,396"
LiL CaKe,"81,81,885","-69,874",470,"1,34,51,768"
Bvga Beatz,"81,80,663","-1,690",1084,"82,43,029"
Mabel,"81,76,213","-14,734",749,"94,81,688"
Santhosh Narayanan,"81,68,323",-978,983,"86,05,615"
Abhijeet,"81,66,513","11,538",908,"93,03,119"
Varun Jain,"81,57,904","-57,655",817,"1,01,54,680"
Alan Menken,"81,37,451","13,443",753,"1,06,25,887"
Lee Brice,"81,37,236","-11,221",1012,"86,32,311"
Tito Double P,"81,30,307",-302,1024,"85,61,872"
Miranda Lambert,"81,26,024","3,349",847,"99,45,780"
Iron Maiden,"81,24,167","20,608",937,"85,44,793"
Robert Miles,"81,20,653","-6,541",996,"87,03,859"
Willie Nelson,"81,18,773","2,815",1063,"81,18,773"
Dusty Springfield,"81,11,448","19,817",1114,"81,11,448"
MKTO,"81,09,415","-11,286",1020,"82,68,756"
Ha*Ash,"81,06,767","11,551",978,"81,06,767"
Sash!,"81,06,511","22,084",1089,"81,99,995"
Niklas Dee,"80,99,854","62,492",1118,"80,99,854"
JP Saxe,"80,87,369","-49,735",898,"86,27,780"
Omar Apollo,"80,84,417","29,283",592,"1,13,77,789"
Casper Magico,"80,78,984","-19,877",936,"91,93,558"
Cody Johnson,"80,78,447","10,247",1122,"80,78,447"
Elderbrook,"80,77,241","15,583",1057,"80,77,241"
American Authors,"80,71,697","-4,968",1078,"82,09,997"
WIU,"80,68,432","-61,560",701,"98,67,079"
Mc Daniel,"80,65,244","1,57,771",872,"85,44,197"
Jessie Murph,"80,54,504","-35,662",944,"91,91,410"
Oh Wonder,"80,51,793","53,565",944,"90,90,385"
Haricharan,"80,47,463",986,1081,"80,73,718"
Gminxr,"80,45,882","7,904",1128,"80,45,882"
aespa,"80,43,255","47,202",1069,"80,71,007"
Keith Urban,"80,34,893","-28,142",909,"90,49,969"
BYOR,"80,29,798","-26,975",740,"95,36,786"
La Bouche,"80,15,450","-22,953",1073,"82,50,843"
UB40,"80,06,128","-29,735",1050,"83,92,416"
JP Cooper,"79,98,244","-15,659",826,"89,64,796"
Nina Simone,"79,84,417","-5,713",1027,"80,37,059"
Beach Bunny,"79,76,203","52,126",1130,"79,76,203"
Shweta Mohan,"79,76,095","-4,699",968,"80,62,604"
Selena,"79,67,272","2,274",947,"83,76,374"
John Travolta,"79,66,275","26,403",1080,"82,34,398"
Rashmi Virag,"79,65,128","-14,938",880,"94,40,437"
Victoria MonÃ©t,"79,61,706","79,229",1140,"79,61,706"
DJ 900,"79,58,328","-16,127",1018,"86,45,994"
MC Hariel,"79,52,216","5,946",1110,"79,52,216"
Sin Bandera,"79,51,414","23,545",1050,"81,94,841"
Majid Jordan,"79,41,253","23,716",1117,"79,41,253"
Murilo Huff,"79,38,749","47,751",1148,"79,38,749"
Years & Years,"79,38,369","-1,404",863,"87,20,570"
Diana Ross,"79,32,655","-4,931",957,"83,31,381"
Gryffin,"79,31,217","-21,070",654,"1,04,46,335"
Neeraj Shridhar,"79,27,290","6,549",822,"97,59,193"
Boston,"79,11,611","-1,558",1081,"81,70,775"
Brooks & Dunn,"79,11,538","-5,392",1024,"85,73,894"
VINAI,"79,09,742","58,963",1155,"79,09,742"
4 Non Blondes,"79,06,098","4,839",1148,"79,06,098"
Jay Sean,"79,03,833",152,995,"80,63,447"
Parmish Verma,"78,95,534","-1,188",1156,"78,96,722"
Cali Y El Dandee,"78,94,580","19,244",1004,"78,94,580"
Why Don't We,"78,93,717","52,313",881,"92,28,866"
Ana Gabriel,"78,91,142","-6,246",1013,"80,04,968"
Belinda,"78,76,933",-865,911,"82,61,049"
Skillet,"78,59,277","-22,331",1067,"82,28,762"
Keyshia Cole,"78,58,105","37,783",1164,"78,58,105"
Lady A,"78,45,144","-34,072",878,"84,78,872"
Patrick Watson,"78,37,595","2,985",928,"86,84,924"
IVE,"78,34,887","-29,791",608,"1,17,93,543"
Mario,"78,32,468","5,840",1070,"82,24,894"
Pineapple StormTv,"78,28,956","-31,277",1118,"80,11,329"
Freddie Dredd,"78,28,226","-7,414",651,"1,03,75,038"
J Hus,"78,24,659","-22,574",594,"1,25,69,449"
The Animals,"78,17,616","10,353",1125,"79,52,143"
Mike WiLL Made-It,"78,13,540","78,964",1173,"78,13,540"
El Jordan 23,"78,12,264","-2,650",1152,"78,19,361"
Omega,"78,08,481","-19,709",1062,"83,03,230"
ZECCA,"78,06,625","-38,078",1104,"80,88,463"
Luny Tunes,"78,00,306","-5,556",1153,"78,13,052"
Haddaway,"78,00,181","-16,642",1027,"84,84,048"
Shaarib Toshi,"77,84,926","-1,143",963,"89,23,040"
Antara Mitra,"77,84,493","23,673",1002,"86,73,836"
Sam Cooke,"77,81,786","-2,077",1040,"82,72,187"
Iggy Azalea,"77,81,657","-4,794",1020,"80,08,146"
Nusrat Fateh Ali Khan,"77,78,749","88,698",997,"85,42,660"
Powfu,"77,78,111","13,644",913,"82,30,459"
George Harrison,"77,66,172","2,607",1002,"85,21,426"
Etta James,"77,60,975","-3,994",1070,"77,80,859"
Caralisa Monteiro,"77,53,051","7,782",695,"1,00,73,438"
Jul,"77,44,953","-16,142",1032,"84,79,209"
John Summit,"77,31,291","21,913",1095,"77,31,291"
Masked Wolf,"77,31,075","-3,336",924,"85,28,561"
Crazy Mano,"77,30,113","24,986",1167,"77,30,113"
Audioslave,"77,18,558","-10,230",1128,"77,97,330"
Kavita Seth,"77,11,859",-891,1110,"79,18,741"
GAMPER & DADONI,"77,10,169","-8,908",1142,"78,37,654"
Brando,"77,06,875","19,860",1124,"79,25,404"
Virgoun,"77,05,521",-508,1193,"77,06,029"
Palak Muchhal,"77,04,874","26,129",913,"87,70,113"
David Bisbal,"76,89,627","11,518",954,"80,76,574"
Novo Amor,"76,88,177","16,929",1080,"79,33,042"
Baco Exu do Blues,"76,85,466","43,695",1086,"78,19,392"
Wallows,"76,83,386","78,789",963,"87,72,525"
Jungle,"76,78,435","2,556",1201,"76,78,435"
Axwell /\ Ingrosso,"76,74,902","-11,967",1172,"77,28,680"
Def Leppard,"76,72,897","-3,014",994,"83,33,121"
Two Door Cinema Club,"76,60,633","15,369",1200,"76,60,633"
Naresh Iyer,"76,57,475","12,049",1204,"76,57,475"
Nick Jonas,"76,56,611","4,960",844,"89,43,545"
Bob Seger,"76,50,690","43,244",1206,"76,50,690"
Tion Wayne,"76,46,535","24,249",902,"88,86,575"
Cascada,"76,33,823","4,062",1072,"77,61,486"
Kenny Rogers,"76,25,035","-15,465",1082,"78,22,977"
Connor Price,"76,22,811","-6,247",908,"84,97,650"
Queens of the Stone Age,"76,21,932","-12,735",1037,"84,72,804"
Tz da Coronel,"76,20,486","5,282",1206,"76,20,486"
Laura Pausini,"76,15,297","-13,734",827,"90,40,595"
Guaynaa,"76,11,074","-12,123",923,"85,34,285"
Marc SeguÃ­,"75,96,817","-4,166",1213,"76,00,983"
HAIM,"75,91,333","-66,276",920,"93,32,787"
Wall Hein,"75,91,186","-39,761",990,"87,85,923"
Natasha Bedingfield,"75,86,238","13,453",1214,"75,86,238"
Joan Jett & the Blackhearts,"75,80,144","37,452",1214,"75,80,144"
Lainey Wilson,"75,73,256","4,682",1189,"76,26,700"
Vintage Culture,"75,69,887","13,499",1053,"78,49,803"
Julian Perretta,"75,65,070","-19,654",1155,"77,55,492"
RÃ­o Roma,"75,50,315",507,1021,"76,54,075"
Pamungkas,"75,49,092","-8,953",1170,"76,41,250"
Jelly Roll,"75,44,680","-13,925",1150,"77,95,926"
Mother Mother,"75,42,393","10,464",1008,"79,33,220"
Ilaiyaraaja,"75,39,060","3,469",1168,"75,51,673"
Alice In Chains,"75,38,490","13,875",1160,"75,94,340"
Trey Songz,"75,35,981","39,295",1091,"75,70,205"
Rich Brian,"75,32,714",698,919,"82,54,977"
Neil Diamond,"75,29,562","-3,425",1102,"81,08,826"
Lil Mosey,"75,24,816","4,955",939,"82,89,306"
The Paper Kites,"75,24,426","25,623",1235,"75,24,426"
Rod Wave,"75,23,338","21,550",925,"85,62,500"
BoyWithUke,"75,15,875","-18,892",743,"95,80,542"
Pepe Aguilar,"75,00,285","-24,930",1185,"76,43,143"
MIKA,"74,98,963","-11,563",1168,"75,13,747"
Hiphop Tamizha,"74,98,378","5,253",1240,"74,98,378"
Cristian Castro,"74,95,718",192,1067,"75,42,953"
Raim Laode,"74,92,300","-8,180",913,"88,78,058"
AlemÃ¡n,"74,84,783","41,995",918,"82,26,286"
The Temper Trap,"74,78,706",-408,1176,"74,98,017"
Genesis,"74,77,033","2,925",1096,"76,49,870"
MF DOOM,"74,72,553","4,671",1229,"74,72,553"
Soolking,"74,69,582","5,586",1224,"74,91,404"
Ella Mai,"74,67,769","11,925",917,"81,67,244"
Jon Z,"74,67,728","20,667",1249,"74,67,728"
Carlos Baute,"74,65,000","-23,702",1183,"76,58,070"
The Wanted,"74,61,981","3,830",1178,"75,06,378"
Rise Against,"74,61,922","-1,985",1158,"77,13,857"
Jaideep Sahni,"74,60,475","11,993",1198,"74,60,475"
Dennis Lloyd,"74,59,916","35,680",1254,"74,59,916"
Alisha Chinai,"74,50,826","-16,172",1238,"74,77,259"
Kevin Kaarl,"74,49,806","14,477",1052,"76,35,316"
Iyaz,"74,42,603","-4,159",1019,"85,56,472"
Ricardo Montaner,"74,41,261","-21,816",1040,"78,54,090"
La Arrolladora Banda El LimÃ³n De Rene Camacho,"74,36,924","-6,503",1068,"79,45,891"
Chris Jedi,"74,33,356","-16,871",767,"93,56,538"
MÃ,"74,27,902","-25,176",1180,"76,69,700"
Franz Ferdinand,"74,25,790","-14,544",1177,"75,13,658"
Leo Santana,"74,24,473","-39,578",489,"1,27,93,052"
Mc IG,"74,24,060","91,484",1187,"74,24,060"
Melody,"74,19,451","8,981",1159,"77,20,840"
Neon Trees,"74,10,573","-6,270",1170,"75,21,599"
Kishore Kumar,"73,98,777","14,726",1265,"73,98,777"
Manuel Medrano,"73,92,499","-60,784",1144,"78,28,358"
RocÃ­o DÃºrcal,"73,88,763","3,693",1201,"74,61,701"
Roy Orbison,"73,88,425","-15,762",1181,"76,36,001"
Young the Giant,"73,85,436","-48,381",1181,"76,86,796"
Franco De Vita,"73,78,841","-6,171",1167,"73,89,554"
Trinix,"73,74,660","5,808",1270,"73,74,660"
Sleeping At Last,"73,70,266","6,441",1270,"73,70,266"
Tinashe,"73,67,881","78,049",1088,"73,67,881"
Incubus,"73,59,385","6,064",1215,"74,31,933"
Beck,"73,59,167","13,814",1214,"75,10,815"
Chuck Berry,"73,53,276","6,213",1185,"76,57,716"
Ludovico Einaudi,"73,46,111","5,407",919,"82,79,959"
Johann Sebastian Bach,"73,43,195","20,541",942,"81,73,764"
Feby Putri,"73,41,988","2,077",1214,"74,89,978"
ZoÃ©,"73,40,262","-5,901",1153,"76,07,862"
MatuÃª,"73,30,801","-23,855",920,"90,88,979"
Nakash Aziz,"73,30,453","48,175",1244,"73,30,453"
Hindia,"73,29,545","20,929",1285,"73,29,545"
Gazo,"73,29,253","26,870",1286,"73,29,253"
Kanii,"73,28,172","-6,816",961,"83,87,470"
JENNIE,"73,22,686","36,907",1172,"77,16,100"
Kenshi Yonezu,"73,22,583","-31,314",1024,"77,85,393"
Ikky,"73,19,262","34,374",1220,"73,39,621"
BONES,"73,10,305","-21,165",994,"79,68,560"
Edward Maya,"73,09,240","-2,558",1149,"78,04,662"
Sofi Tukker,"73,08,618","-13,574",972,"82,83,427"
KAYTRANADA,"73,02,087","-14,658",894,"94,16,102"
Fitz and The Tantrums,"72,99,169","-8,900",1253,"73,68,380"
Fivio Foreign,"72,98,121","-9,339",706,"1,01,41,150"
Lil Jon,"72,97,027","9,848",1228,"74,31,810"
SEVENTEEN,"72,88,318","7,698",889,"92,40,435"
Jarabe De Palo,"72,76,410","-23,558",1142,"73,99,256"
Simple Plan,"72,68,208","-6,104",1169,"74,73,014"
Omah Lay,"72,59,159","-32,606",913,"93,45,648"
Whethan,"72,58,084","98,319",1152,"77,55,433"
Gracie Abrams,"72,49,522","-5,825",922,"82,64,007"
DVRST,"72,46,959","7,616",792,"91,29,451"
*NSYNC,"72,46,621","9,522",1185,"74,37,447"
Los Dos Carnales,"72,39,280","61,410",1107,"75,52,257"
Leona Lewis,"72,27,033",411,1113,"75,43,658"
